SECTION 1	SPEAKER	TEXT
None	None	# Segments from _The Great Gatsby_, by F. Scott Fitzgerald
None	None	Then wear the gold hat, if that will move her;
None	None	If you can bounce high, bounce for her too,
None	None	Till she cry "Lover, gold-hatted, high-bouncing lover,
None	None	I must have you!"
None	None	THOMAS PARKE D'INVILLIERS.
Chapter 1	None	Chapter 1
Chapter 1	None	In my younger and more vulnerable years my father gave me some advice
Chapter 1	None	that I've been turning over in my mind ever since.
Chapter 1	Mr. Carraway	Whenever you feel like criticizing any one,
Chapter 1	None	he told me, 
Chapter 1	Mr. Carraway	just remember that all the people in this world haven't had the
Chapter 1	Mr. Carraway	advantages that you've had.
Chapter 1	None	I told her how I had stopped off in Chicago for a day on my way East, and how
Chapter 1	None	a dozen people had sent their love through me.
Chapter 1	Daisy	Do they miss me?
Chapter 1	None	she cried ecstatically.
Chapter 1	Nick	The whole town is desolate. All the cars have the left rear wheel
Chapter 1	Nick	painted black as a mourning wreath, and there's a persistent wail all night
Chapter 1	Nick	along the north shore.
Chapter 1	Daisy	How gorgeous! Let's go back, Tom. To-morrow!
Chapter 2	None	Chapter 2
Chapter 2	None	About half way between West Egg and New York the motor road hastily
Chapter 2	None	joins the railroad and runs beside it for a quarter of a mile, so as to
Chapter 2	None	shrink away from a certain desolate area of land. 
Chapter 2	Tom	We're getting off,
Chapter 2	None	he insisted. 
Chapter 2	Tom	I want you to meet my girl.
